Posting Date,Material,Material Description,Plant,Movement Type,Quantity,Unit,Amount in LC,Cost Center,Vendor,Purchase Order
15.03.2024,DIESE001,Dieselkraftstoff,1100,261,5000,L,"4,25,000",CC-MFG-01,4500012345,PO-2024-001
16.03.2024,DIESE001,Dieselkraftstoff,1200,261,3200,L,"2,72,000",CC-ASM-01,4500012345,PO-2024-001
20.03.2024,PETRL001,Petrol Premium,1300,261,1800,L,"1,80,000",CC-LOG-01,4500067890,PO-2024-005
22.03.2024,DIESE001,Dieselkraftstoff,1400,261,4100,L,"3,48,500",CC-OPS-02,4500012345,PO-2024-007
25.03.2024,LUBR002,Lubricating Oil SAE 40,1100,261,850,KG,"1,27,500",CC-MFG-01,4500099001,PO-2024-009
28.03.2024,STEEL01,Steel Sheets HR,1200,101,12500,KG,"18,75,000",CC-ASM-01,4500011111,PO-2024-012
01.04.2024,DIESE001,Dieselkraftstoff,1100,261,5500,L,"4,67,500",CC-MFG-01,4500012345,PO-2024-015
05.04.2024,DIESE001,Dieselkraftstoff,2100,261,7800,L,"6,63,000",CC-PORT-01,4500012345,PO-2024-018
10.04.2024,CNG0001,Compressed Natural Gas,1300,261,2200,KG,"1,98,000",CC-GEN-01,4500044444,PO-2024-020
15.04.2024,DIESE001,Dieselkraftstoff,1400,261,0,L,0,CC-OPS-02,4500012345,
18.04.2024,PETRL001,Petrol Premium,,261,900,L,"90,000",CC-LOG-02,4500067890,PO-2024-025
20.04.2024,LUBR002,Lubricating Oil SAE 40,1200,261,320,KG,"48,000",CC-ASM-02,4500099001,PO-2024-027
22.04.2024,DIESE001,Dieselkraftstoff,3000,261,1200,L,"1,02,000",CC-HQ-01,4500012345,PO-2024-030
25.04.2024,PAPER01,Office Paper A4,3000,101,5000,KG,"75,000",CC-HQ-01,4500055555,PO-2024-033
