Employee ID,Trip Date,Category,Origin,Destination,Class,Nights,Distance KM,Amount,Currency,Vendor
EMP-00234,2024-03-04,AIR,BLR,DEL,Economy,,,15200,INR,IndiGo
EMP-00234,2024-03-07,AIR,DEL,BLR,Economy,,,14800,INR,Air India
EMP-00234,2024-03-04,HTL,,,,3,,12600,INR,The Lalit New Delhi
EMP-00567,2024-03-10,AIR,BOM,LHR,Business,,,185000,INR,British Airways
EMP-00567,2024-03-17,AIR,LHR,BOM,Business,,,182000,INR,British Airways
EMP-00567,2024-03-10,HTL,,,,7,,98000,INR,Marriott London
EMP-00891,2024-03-15,AIR,HYD,BLR,Economy,,,8900,INR,IndiGo
EMP-00891,2024-03-15,TAXI,,,,,45,850,INR,Ola
EMP-00112,2024-04-02,AIR,DEL,DXB,Economy,,,42000,INR,Emirates
EMP-00112,2024-04-02,HTL,,,,4,,65000,INR,Marriott Dubai
EMP-00345,2024-04-05,RAIL,,,,,1420,3200,INR,IRCTC
EMP-00456,2024-04-08,AIR,BLR,JFK,Business,,,245000,INR,Air India
EMP-00456,2024-04-08,HTL,,,,5,,185000,INR,Hilton Midtown NYC
,2024-04-10,AIR,BOM,SIN,Economy,,,38000,INR,Singapore Airlines
EMP-00789,2024-04-12,CAR,,,,,850,12000,INR,Avis
